worker_id,date,platform,amount,trips_completed,hours_worked,source
W00002,2026-01-21,dunzo,1144.54,5,11.7,manual_entry
W00002,2026-01-21,zepto,1239.16,8,6.8,sms_parse
W00002,2026-01-22,dunzo,1169.88,5,10.6,sms_parse
W00002,2026-01-22,zepto,871.19,3,6.6,manual_entry
W00002,2026-01-24,zepto,1418.35,10,4.1,manual_entry
W00002,2026-01-24,dunzo,1059.46,10,10.3,screenshot_ocr
W00002,2026-01-26,dunzo,1660.37,2,3.5,manual_entry
W00002,2026-01-27,zepto,1315.41,15,12.8,sms_parse
W00002,2026-01-27,dunzo,695.25,12,3.1,sms_parse
W00002,2026-01-28,zepto,2276.44,1,7.3,sms_parse
W00002,2026-01-31,dunzo,1587.44,9,12.8,sms_parse
W00002,2026-02-04,zepto,822.94,13,6.9,manual_entry
W00002,2026-02-04,dunzo,965.54,9,10.5,screenshot_ocr
W00002,2026-02-08,zepto,847.1,14,11.8,sms_parse
W00002,2026-02-08,dunzo,1049.81,11,2.6,manual_entry
W00002,2026-02-13,zepto,936.59,1,4.3,screenshot_ocr
W00002,2026-02-13,dunzo,1448.22,5,9.6,sms_parse
W00002,2026-02-14,dunzo,1465.24,3,10.1,manual_entry
W00002,2026-02-15,zepto,655.63,11,5.0,manual_entry
W00002,2026-02-15,dunzo,740.47,12,10.4,manual_entry
W00002,2026-02-17,dunzo,2347.12,8,11.1,screenshot_ocr
W00002,2026-02-19,dunzo,795.28,13,3.6,screenshot_ocr
W00002,2026-02-20,zepto,3369.91,1,8.2,sms_parse
W00002,2026-02-21,dunzo,1570.72,12,9.8,sms_parse
W00002,2026-02-22,zepto,1552.94,15,8.6,screenshot_ocr
W00002,2026-02-22,dunzo,1260.88,2,11.1,screenshot_ocr
W00002,2026-02-23,dunzo,1245.65,14,3.5,manual_entry
W00002,2026-02-25,dunzo,501.96,13,7.0,manual_entry
W00002,2026-02-27,dunzo,401.97,4,9.1,screenshot_ocr
W00002,2026-02-27,zepto,289.56,11,5.3,manual_entry
W00002,2026-03-04,zepto,1267.33,6,3.3,screenshot_ocr
W00002,2026-03-05,zepto,1055.48,9,9.1,manual_entry
W00002,2026-03-05,dunzo,616.51,13,9.3,sms_parse
W00002,2026-03-09,dunzo,355.58,3,11.8,sms_parse
W00002,2026-03-12,zepto,1026.24,12,9.8,sms_parse
W00002,2026-03-12,dunzo,640.5,11,10.9,manual_entry
W00002,2026-03-13,dunzo,1699.29,10,11.8,manual_entry
W00002,2026-03-14,dunzo,249.33,15,8.5,sms_parse
W00002,2026-03-14,zepto,303.48,1,11.9,sms_parse
W00002,2026-03-15,dunzo,559.87,15,2.5,manual_entry
W00002,2026-03-15,zepto,215.46,15,9.8,manual_entry
W00002,2026-03-16,dunzo,905.97,10,6.2,screenshot_ocr
W00002,2026-03-18,dunzo,628.55,5,9.4,screenshot_ocr
W00002,2026-03-18,zepto,946.16,2,9.2,screenshot_ocr
W00002,2026-03-19,zepto,1054.6,8,13.4,screenshot_ocr
W00002,2026-03-21,dunzo,1458.03,12,4.8,manual_entry
W00002,2026-03-24,dunzo,1367.83,7,2.7,sms_parse
W00002,2026-03-24,zepto,981.86,15,6.6,screenshot_ocr
W00002,2026-03-25,zepto,207.26,10,3.7,sms_parse
W00002,2026-03-25,dunzo,356.59,11,6.2,manual_entry
W00002,2026-03-26,dunzo,1320.4,6,9.5,manual_entry
W00002,2026-03-27,dunzo,1093.7,9,7.8,screenshot_ocr
W00002,2026-03-29,zepto,1981.03,15,3.9,screenshot_ocr
W00002,2026-03-30,zepto,688.68,1,4.0,manual_entry
W00002,2026-03-30,dunzo,1787.43,11,2.3,sms_parse
W00003,2026-01-02,uber,183.49,1,5.0,screenshot_ocr
W00003,2026-01-02,rapido,91.4,13,4.4,manual_entry
W00003,2026-01-03,ola,63.33,14,7.1,sms_parse
W00003,2026-01-03,rapido,48.7,4,7.9,sms_parse
W00003,2026-01-03,uber,91.78,3,13.3,screenshot_ocr
W00003,2026-01-07,rapido,300.9,15,4.0,screenshot_ocr
W00003,2026-01-08,ola,45.04,1,5.8,manual_entry
W00003,2026-01-08,rapido,79.93,10,8.6,sms_parse
W00003,2026-01-08,uber,65.22,1,2.4,screenshot_ocr
W00003,2026-01-12,rapido,222.47,9,12.6,manual_entry
W00003,2026-01-13,ola,78.21,7,7.6,manual_entry
W00003,2026-01-13,rapido,85.09,2,7.0,screenshot_ocr
W00003,2026-01-13,uber,54.07,10,11.9,screenshot_ocr
W00003,2026-01-14,uber,226.15,2,5.6,screenshot_ocr
W00003,2026-01-16,rapido,496.32,2,5.7,screenshot_ocr
W00003,2026-01-19,ola,103.85,13,5.1,sms_parse
W00003,2026-01-19,rapido,174.12,4,8.5,sms_parse
W00003,2026-01-20,rapido,50.69,15,9.3,manual_entry
W00003,2026-01-20,ola,36.88,1,9.4,manual_entry
W00003,2026-01-20,uber,32.8,10,2.2,manual_entry
W00003,2026-01-22,uber,103.46,14,5.4,manual_entry
W00003,2026-01-22,ola,150.26,15,8.5,sms_parse
W00003,2026-01-27,uber,34.61,2,2.5,manual_entry
W00003,2026-01-27,rapido,25.98,5,9.0,manual_entry
W00003,2026-01-27,ola,42.23,12,11.0,sms_parse
W00003,2026-01-30,ola,135.66,9,4.5,manual_entry
W00003,2026-02-02,uber,227.84,8,3.6,sms_parse
W00003,2026-02-02,rapido,132.82,2,9.5,sms_parse
W00003,2026-02-07,uber,696.51,11,11.2,screenshot_ocr
W00003,2026-02-09,ola,81.94,11,3.4,screenshot_ocr
W00003,2026-02-09,uber,96.84,11,5.7,manual_entry
W00003,2026-02-10,ola,61.95,3,8.7,screenshot_ocr
W00003,2026-02-10,rapido,101.63,1,3.6,screenshot_ocr
W00003,2026-02-10,uber,64.95,7,7.5,sms_parse
W00003,2026-02-11,uber,129.06,13,8.7,manual_entry
W00003,2026-02-11,ola,167.62,11,13.2,screenshot_ocr
W00003,2026-02-11,rapido,79.84,6,8.2,sms_parse
W00003,2026-02-15,ola,104.99,10,4.8,manual_entry
W00003,2026-02-15,uber,94.85,3,5.7,manual_entry
W00003,2026-02-19,ola,92.9,10,6.7,screenshot_ocr
W00003,2026-02-19,rapido,90.96,10,4.6,manual_entry
W00003,2026-02-19,uber,118.15,4,7.1,screenshot_ocr
W00003,2026-02-20,rapido,183.12,2,11.1,manual_entry
W00003,2026-02-20,uber,172.38,8,9.3,screenshot_ocr
W00003,2026-02-23,ola,50.98,15,7.3,sms_parse
W00003,2026-02-23,rapido,70.73,6,11.9,sms_parse
W00003,2026-02-24,uber,233.6,6,13.2,manual_entry
W00003,2026-02-24,ola,234.88,2,8.6,manual_entry
W00003,2026-03-01,ola,195.16,10,9.4,manual_entry
W00003,2026-03-01,rapido,157.33,7,3.4,manual_entry
W00003,2026-03-05,uber,289.64,8,6.4,screenshot_ocr
W00003,2026-03-06,ola,137.02,13,11.2,sms_parse
W00003,2026-03-06,uber,68.26,10,3.8,manual_entry
W00003,2026-03-06,rapido,69.6,9,9.6,screenshot_ocr
W00003,2026-03-10,rapido,28.87,2,3.4,sms_parse
W00003,2026-03-10,ola,64.08,10,6.6,screenshot_ocr
W00003,2026-03-10,uber,42.69,12,8.8,manual_entry
W00003,2026-03-11,uber,144.84,7,5.7,sms_parse
W00003,2026-03-11,ola,191.06,10,2.0,sms_parse
W00003,2026-03-12,rapido,219.14,2,10.5,manual_entry
W00003,2026-03-12,ola,171.67,2,10.9,manual_entry
W00003,2026-03-13,rapido,350.86,1,11.6,manual_entry
W00003,2026-03-14,uber,115.99,11,5.2,manual_entry
W00003,2026-03-14,ola,137.42,1,4.4,manual_entry
W00003,2026-03-14,rapido,63.7,10,4.4,manual_entry
W00003,2026-03-16,uber,376.53,10,3.3,sms_parse
W00003,2026-03-17,uber,185.78,2,7.4,manual_entry
W00003,2026-03-17,rapido,118.0,6,3.0,sms_parse
W00003,2026-03-21,ola,106.11,3,4.7,sms_parse
W00003,2026-03-21,uber,82.94,2,9.8,manual_entry
W00003,2026-03-21,rapido,58.98,6,10.7,sms_parse
W00003,2026-03-23,rapido,93.1,3,13.5,manual_entry
W00003,2026-03-23,uber,90.89,13,7.3,screenshot_ocr
W00003,2026-03-23,ola,61.69,14,4.5,sms_parse
W00003,2026-03-25,uber,89.1,2,5.2,screenshot_ocr
W00003,2026-03-25,ola,121.35,13,6.1,sms_parse
W00003,2026-03-26,rapido,233.01,1,7.7,manual_entry
W00003,2026-03-26,uber,156.16,4,8.8,screenshot_ocr
W00003,2026-03-30,uber,124.75,5,10.1,manual_entry
W00003,2026-03-30,rapido,253.47,11,4.0,screenshot_ocr
W00003,2026-03-31,ola,258.93,4,9.0,sms_parse
W00004,2026-01-01,zomato,634.75,10,10.4,manual_entry
W00004,2026-01-02,dunzo,152.44,8,6.6,sms_parse
W00004,2026-01-02,ola,221.35,5,10.9,sms_parse
W00004,2026-01-02,zomato,218.38,10,11.9,manual_entry
W00004,2026-01-03,zomato,126.42,8,8.5,screenshot_ocr
W00004,2026-01-03,dunzo,152.84,12,8.2,manual_entry
W00004,2026-01-06,dunzo,483.95,5,10.7,screenshot_ocr
W00004,2026-01-07,ola,323.92,4,13.7,screenshot_ocr
W00004,2026-01-07,zomato,256.06,6,11.8,sms_parse
W00004,2026-01-13,ola,130.93,9,7.0,screenshot_ocr
W00004,2026-01-13,dunzo,101.81,13,5.1,sms_parse
W00004,2026-01-13,zomato,106.57,11,14.0,sms_parse
W00004,2026-01-15,zomato,323.84,6,13.5,manual_entry
W00004,2026-01-15,ola,253.63,15,6.4,screenshot_ocr
W00004,2026-01-17,zomato,186.83,1,2.1,manual_entry
W00004,2026-01-20,ola,356.37,7,10.9,sms_parse
W00004,2026-01-20,dunzo,507.54,14,6.5,sms_parse
W00004,2026-01-22,zomato,222.45,7,10.0,manual_entry
W00004,2026-01-22,dunzo,186.13,12,7.1,sms_parse
W00004,2026-01-23,ola,124.37,1,11.3,screenshot_ocr
W00004,2026-01-23,zomato,203.62,1,12.7,sms_parse
W00004,2026-01-23,dunzo,189.46,15,13.4,manual_entry
W00004,2026-01-25,dunzo,435.74,11,10.4,manual_entry
W00004,2026-01-26,zomato,600.07,3,7.8,manual_entry
W00004,2026-01-27,zomato,155.36,10,6.1,sms_parse
W00004,2026-01-27,dunzo,143.4,1,11.5,manual_entry
W00004,2026-01-27,ola,121.05,15,3.7,sms_parse
W00004,2026-01-29,ola,590.73,7,4.2,manual_entry
W00004,2026-02-08,ola,872.14,5,9.2,manual_entry
W00004,2026-02-11,dunzo,910.74,4,10.5,screenshot_ocr
W00004,2026-02-14,zomato,314.59,10,6.0,manual_entry
W00004,2026-02-16,dunzo,448.72,15,13.8,screenshot_ocr
W00004,2026-02-16,ola,446.54,6,9.1,screenshot_ocr
W00004,2026-02-17,ola,288.17,10,9.0,screenshot_ocr
W00004,2026-02-18,zomato,146.53,8,13.4,screenshot_ocr
W00004,2026-02-18,ola,163.82,9,4.5,sms_parse
W00004,2026-02-19,zomato,321.27,11,8.4,screenshot_ocr
W00004,2026-02-23,ola,258.25,7,12.0,manual_entry
W00004,2026-02-27,zomato,816.05,2,4.9,screenshot_ocr
W00004,2026-02-28,dunzo,510.71,14,2.4,sms_parse
W00004,2026-02-28,zomato,174.59,5,4.1,screenshot_ocr
W00004,2026-03-01,ola,152.18,9,12.7,screenshot_ocr
W00004,2026-03-01,dunzo,118.07,15,9.0,manual_entry
W00004,2026-03-01,zomato,150.86,10,7.8,sms_parse
W00004,2026-03-02,zomato,335.07,13,9.8,manual_entry
W00004,2026-03-08,ola,85.18,7,10.8,sms_parse
W00004,2026-03-08,zomato,74.92,10,8.5,screenshot_ocr
W00004,2026-03-11,dunzo,95.37,8,3.6,manual_entry
W00004,2026-03-11,ola,66.0,14,5.0,screenshot_ocr
W00004,2026-03-13,zomato,131.84,12,13.9,sms_parse
W00004,2026-03-13,ola,103.9,6,2.3,screenshot_ocr
W00004,2026-03-13,dunzo,201.38,10,4.0,sms_parse
W00004,2026-03-14,ola,243.75,14,8.2,screenshot_ocr
W00004,2026-03-16,dunzo,54.77,13,4.0,manual_entry
W00004,2026-03-16,ola,68.54,6,13.1,manual_entry
W00004,2026-03-16,zomato,79.53,8,13.0,screenshot_ocr
W00004,2026-03-18,dunzo,263.53,9,10.0,manual_entry
W00004,2026-03-18,ola,116.67,13,13.4,screenshot_ocr
W00004,2026-03-18,zomato,115.67,14,2.3,sms_parse
W00004,2026-03-19,zomato,30.93,13,11.2,sms_parse
W00004,2026-03-19,dunzo,51.36,12,4.9,screenshot_ocr
W00004,2026-03-19,ola,36.13,1,6.4,manual_entry
W00004,2026-03-22,zomato,87.26,8,13.7,manual_entry
W00004,2026-03-22,ola,77.3,6,7.3,manual_entry
W00004,2026-03-26,dunzo,290.99,9,8.9,sms_parse
W00004,2026-03-26,zomato,334.88,8,2.1,screenshot_ocr
W00004,2026-03-26,ola,236.59,3,6.0,screenshot_ocr
W00004,2026-03-31,zomato,313.93,15,8.5,sms_parse
W00005,2026-01-02,rapido,412.61,3,3.9,screenshot_ocr
W00005,2026-01-02,zepto,309.51,4,6.9,manual_entry
W00005,2026-01-02,swiggy,415.15,4,13.6,screenshot_ocr
W00005,2026-01-03,rapido,773.73,6,3.0,manual_entry
W00005,2026-01-04,rapido,1043.69,4,9.9,sms_parse
W00005,2026-01-05,swiggy,427.07,4,3.6,manual_entry
W00005,2026-01-05,rapido,474.67,10,5.7,sms_parse
W00005,2026-01-05,zepto,370.85,11,12.7,sms_parse
W00005,2026-01-06,zepto,781.31,11,3.9,manual_entry
W00005,2026-01-06,swiggy,355.96,7,5.8,sms_parse
W00005,2026-01-07,rapido,1298.0,4,5.2,screenshot_ocr
W00005,2026-01-08,rapido,134.53,4,4.6,sms_parse
W00005,2026-01-08,swiggy,127.58,7,2.6,sms_parse
W00005,2026-01-08,zepto,80.31,6,11.9,sms_parse
W00005,2026-01-10,rapido,458.37,8,12.9,sms_parse
W00005,2026-01-10,swiggy,415.74,2,8.4,screenshot_ocr
W00005,2026-01-10,zepto,327.37,9,3.1,screenshot_ocr
W00005,2026-01-11,rapido,362.82,4,12.6,manual_entry
W00005,2026-01-12,rapido,369.62,13,7.9,screenshot_ocr
W00005,2026-01-12,zepto,284.93,11,5.9,screenshot_ocr
W00005,2026-01-13,rapido,204.81,13,8.4,screenshot_ocr
W00005,2026-01-13,zepto,126.81,2,7.2,screenshot_ocr
W00005,2026-01-13,swiggy,312.96,5,4.3,screenshot_ocr
W00005,2026-01-14,zepto,697.24,6,11.4,screenshot_ocr
W00005,2026-01-14,swiggy,274.65,2,9.4,screenshot_ocr
W00005,2026-01-16,zepto,1162.76,13,5.2,sms_parse
W00005,2026-01-17,zepto,109.53,12,12.5,manual_entry
W00005,2026-01-17,rapido,151.35,14,10.7,manual_entry
W00005,2026-01-17,swiggy,171.24,1,7.9,sms_parse
W00005,2026-01-19,rapido,565.6,9,3.2,sms_parse
W00005,2026-01-19,swiggy,241.45,1,8.7,screenshot_ocr
W00005,2026-01-20,swiggy,282.61,2,4.2,sms_parse
W00005,2026-01-23,swiggy,280.97,5,5.0,screenshot_ocr
W00005,2026-01-23,rapido,543.38,5,6.9,screenshot_ocr
W00005,2026-01-24,zepto,490.51,12,13.2,manual_entry
W00005,2026-01-24,rapido,238.84,15,9.0,screenshot_ocr
W00005,2026-01-24,swiggy,362.17,2,10.3,manual_entry
W00005,2026-01-25,rapido,240.9,15,6.7,manual_entry
W00005,2026-01-25,zepto,306.45,7,6.7,manual_entry
W00005,2026-01-25,swiggy,142.63,13,4.3,screenshot_ocr
W00005,2026-01-26,rapido,264.18,11,10.2,manual_entry
W00005,2026-01-26,zepto,314.85,7,12.9,screenshot_ocr
W00005,2026-01-26,swiggy,190.11,13,5.5,sms_parse
W00005,2026-01-27,rapido,1456.21,13,11.1,sms_parse
W00005,2026-01-28,rapido,502.27,9,4.2,screenshot_ocr
W00005,2026-01-29,rapido,584.0,10,2.7,sms_parse
W00005,2026-01-30,rapido,530.08,12,9.4,sms_parse
W00005,2026-02-02,swiggy,955.96,7,10.3,sms_parse
W00005,2026-02-04,zepto,125.42,11,9.1,screenshot_ocr
W00005,2026-02-04,swiggy,112.03,15,9.3,manual_entry
W00005,2026-02-04,rapido,102.45,14,6.2,manual_entry
W00005,2026-02-05,swiggy,437.08,6,2.2,manual_entry
W00005,2026-02-06,swiggy,666.71,15,13.4,sms_parse
W00005,2026-02-07,zepto,140.17,2,3.9,manual_entry
W00005,2026-02-07,swiggy,133.88,4,7.8,manual_entry
W00005,2026-02-07,rapido,146.12,7,6.7,manual_entry
W00005,2026-02-08,zepto,1273.05,14,8.8,screenshot_ocr
W00005,2026-02-10,rapido,540.08,10,5.2,screenshot_ocr
W00005,2026-02-10,swiggy,228.11,12,10.5,sms_parse
W00005,2026-02-10,zepto,364.74,3,8.4,sms_parse
W00005,2026-02-11,rapido,253.98,11,5.1,screenshot_ocr
W00005,2026-02-11,swiggy,137.59,7,2.5,sms_parse
W00005,2026-02-11,zepto,156.49,11,11.6,screenshot_ocr
W00005,2026-02-12,zepto,141.56,11,11.0,screenshot_ocr
W00005,2026-02-12,swiggy,344.95,15,6.4,screenshot_ocr
W00005,2026-02-13,swiggy,101.64,6,2.8,screenshot_ocr
W00005,2026-02-13,rapido,184.36,13,9.9,sms_parse
W00005,2026-02-13,zepto,67.95,2,11.3,screenshot_ocr
W00005,2026-02-15,zepto,254.67,11,13.9,manual_entry
W00005,2026-02-15,swiggy,207.13,9,2.4,sms_parse
W00005,2026-02-15,rapido,386.51,9,13.8,sms_parse
W00005,2026-02-17,swiggy,260.58,2,3.4,manual_entry
W00005,2026-02-17,zepto,241.78,7,12.4,manual_entry
W00005,2026-02-17,rapido,181.57,3,10.0,manual_entry
W00005,2026-02-19,zepto,124.24,5,10.0,manual_entry
W00005,2026-02-19,swiggy,137.58,7,11.4,screenshot_ocr
W00005,2026-02-19,rapido,150.95,10,4.6,manual_entry
W00005,2026-02-21,rapido,311.25,1,11.5,screenshot_ocr
W00005,2026-02-21,swiggy,271.94,6,5.0,manual_entry
W00005,2026-02-21,zepto,404.79,11,10.1,manual_entry
W00005,2026-02-22,rapido,634.71,3,7.7,screenshot_ocr
W00005,2026-02-22,swiggy,634.3,3,8.7,screenshot_ocr
W00005,2026-02-23,zepto,338.66,1,5.6,sms_parse
W00005,2026-02-23,swiggy,267.05,2,3.2,sms_parse
W00005,2026-02-23,rapido,224.34,6,6.1,screenshot_ocr
W00005,2026-02-25,swiggy,675.81,1,4.3,manual_entry
W00005,2026-02-26,swiggy,247.85,15,2.4,screenshot_ocr
W00005,2026-02-26,zepto,324.26,3,6.1,sms_parse
W00005,2026-02-28,zepto,716.1,13,11.6,sms_parse
W00005,2026-03-01,swiggy,352.14,3,4.8,sms_parse
W00005,2026-03-01,rapido,364.32,9,13.5,manual_entry
W00005,2026-03-02,rapido,144.24,2,11.4,sms_parse
W00005,2026-03-02,swiggy,104.12,6,10.0,sms_parse
W00005,2026-03-02,zepto,182.1,13,6.7,screenshot_ocr
W00005,2026-03-03,swiggy,237.17,5,14.0,screenshot_ocr
W00005,2026-03-03,rapido,346.44,7,7.8,screenshot_ocr
W00005,2026-03-03,zepto,249.87,12,9.7,sms_parse
W00005,2026-03-04,zepto,214.03,13,9.4,screenshot_ocr
W00005,2026-03-04,rapido,331.65,8,11.3,manual_entry
W00005,2026-03-04,swiggy,261.42,6,13.7,sms_parse
W00005,2026-03-05,zepto,156.68,3,8.5,sms_parse
W00005,2026-03-05,swiggy,331.08,14,11.3,sms_parse
W00005,2026-03-07,zepto,238.59,13,3.5,sms_parse
W00005,2026-03-07,rapido,192.75,15,6.2,sms_parse
W00005,2026-03-07,swiggy,327.37,4,4.5,sms_parse
W00005,2026-03-08,swiggy,275.37,11,9.3,sms_parse
W00005,2026-03-08,zepto,275.87,12,9.9,manual_entry
W00005,2026-03-09,rapido,50.85,13,13.8,screenshot_ocr
W00005,2026-03-09,swiggy,75.87,11,12.4,screenshot_ocr
W00005,2026-03-09,zepto,120.19,1,8.9,screenshot_ocr
W00005,2026-03-10,zepto,261.14,1,6.2,sms_parse
W00005,2026-03-10,rapido,501.62,2,6.7,screenshot_ocr
W00005,2026-03-11,swiggy,284.66,15,9.8,screenshot_ocr
W00005,2026-03-11,rapido,291.93,3,12.1,manual_entry
W00005,2026-03-11,zepto,343.44,3,7.4,sms_parse
W00005,2026-03-12,zepto,437.03,4,11.2,manual_entry
W00005,2026-03-13,zepto,73.19,12,11.3,sms_parse
W00005,2026-03-13,rapido,144.02,3,11.5,sms_parse
W00005,2026-03-13,swiggy,51.47,6,2.6,sms_parse
W00005,2026-03-15,swiggy,612.48,15,3.7,sms_parse
